"date_sold","region","suburb","property_type","price","weekly_household","estimated_annual_household","affordability_ratio","km_from_cbd","num_bed","num_bath","num_parking","property_size"
"18/12/21","North Shore","St Leonards","Apartment / Unit / Flat","1312000","2475","128700","10.19","5","2","2","1","120"
"20/12/21","North Shore","Eastwood","House","2200000","1945","101140","21.75","14.34","4","2","2","879"
"20/12/21","North Shore","Carlingford","House","1880000","2084","108368","17.35","18.2","3","1","1","777"
"20/12/21","Inner South","Redfern","Apartment / Unit / Flat","1250000","2145","111540","11.21","3.12","2","2","1","94"
"21/12/21","Inner West","Strathfield","House","5450000","2262","117624","46.33","12.01","5","5","2","1012"
"21/12/21","North Shore","Eastwood","House","2780000","1945","101140","27.49","14.34","5","3","3","639"
"21/12/21","North Shore","Epping","House","2612888","2243","116636","22.4","15.95","5","3","3","1042"
"21/12/21","North Shore","Carlingford","House","2059000","2084","108368","19","18.2","5","3","2","402"
"21/12/21","North Shore","Carlingford","House","1900000","2084","108368","17.53","18.2","3","2","2","695"
"21/12/21","Inner West","Leichhardt","House","1800000","2673","138996","12.95","5.31","2","1","1","212"
"21/12/21","North Shore","Epping","House","1710000","2243","116636","14.66","15.95","3","2","1","460"
"22/12/21","Inner West","Annandale","House","3100000","2683","139516","22.22","4.06","5","2","1","291"
"22/12/21","North Shore","Ryde","House","2350000","2024","105248","22.33","10.92","9","4","2","1225"
"22/12/21","North Shore","Carlingford","House","2210000","2084","108368","20.39","18.2","4","3","5","1005"
"22/12/21","Inner West","Ashfield","House","2150000","1888","98176","21.9","8.08","4","2","1","540"
"22/12/21","North Shore","Epping","House","1870000","2243","116636","16.03","15.95","3","0","2","599"
"22/12/21","North Shore","Epping","House","1870000","2243","116636","16.03","15.95","3","2","2","599"
